invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-31797900035,2020-11-10,4967,Jeff's Market / Blue Grass,"102, W Mayne St",Blue Grass,52726.0,POINT (-90.766126 41.509119),82,SCOTT,1011600.0,Straight Rye Whiskies,255,Infinium Spirits,26858,Templeton 4YR Rye,12,375,9.99,14.99,1,14.99,0.37,0.09
INV-23548800092,2019-11-27,2601,Hy-Vee Food Store / Fairfield,1300 West Burlington Ave,Fairfield,52556.0,POINT (-91.978702 41.006456),51,JEFFERSON,1081500.0,Triple Sec,434,LUXCO INC,86251,Juarez Triple Sec,12,1000,2.42,3.63,6,21.78,6.0,1.58
INV-23609300026,2019-12-02,4962,Hilltop Grocery,1312 Harrison St,Davenport,52803.0,,82,SCOTT,1091200.0,Neutral Grain Spirits,434,LUXCO INC,41844,Everclear Alcohol,24,375,4.2,6.3,3,18.9,1.12,0.29
INV-39482900037,2021-08-24,3719,Wal-Mart 0581 / Marshalltown,2802 S Center St,Marshalltown,50158.0,POINT (-92.91231 42.012918),64,MARSHALL,1082100,Imported Cordials & Liqueur,192,"Mast-Jagermeister US, Inc",65259,Jagermeister Liqueur Mini Meisters,12,20,4.93,7.4,12,88.8,0.24,0.06
INV-39520400088,2021-08-25,5423,Stammer Liquor Corp,615 2nd Ave,Sheldon,51201.0,POINT (-95.854899 43.184242),71,OBRIEN,1092100,Imported Distilled Spirit Specialty,421,SAZERAC COMPANY  INC,77487,Tortilla Gold DSS,12,1000,4.85,7.28,4,29.12,4.0,1.05
INV-29941700050,2020-09-02,3842,Bancroft Liquor Store,107 N Portland St Po Bx 222,Bancroft,50517.0,POINT (-94.218 43.29355),55,KOSSUTH,1091100.0,American Distilled Spirit Specialty,578,S&B Farms Distillery,77055,Sir Winston Peach,6,750,13.01,19.52,18,351.36,13.5,3.56
S30390600011,2016-01-26,2641,Hy-Vee Drugstore / Council Bluffs,757 W BROADWAY,COUNCIL BLUFFS,51501,POINT (-95.855054 41.261673),78,Pottawattamie,1081380.0,MISCELLANEOUS SCHNAPPS,55,Sazerac North America,81124,99 Peppermint Mini,10,600,5.94,8.91,2,17.82,1.2,0.32
S30348700047,2016-01-25,3162,Nash Finch / Wholesale Food,807 GRANDVIEW,MUSCATINE,52761,POINT (-91.06411300000002 41.408437),70,Muscatine,1081330.0,PEACH SCHNAPPS,65.0,Jim Beam Brands,82847,Dekuyper Peachtree,12,1000,7.62,11.43,4,45.72,4.0,1.06
S30466200002,2016-02-01,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14TH ST,DES MOINES,50320,POINT (-93.596754 41.554101),77,Polk,1081700.0,DISTILLED SPIRITS SPECIALTY,55.0,Sazerac North America,973627,Di Amore Quattro Orange,12,1000,9.75,14.63,120,1755.6,120.0,31.7
INV-16481100198,2018-12-20,2544,Hy-Vee Food Store / Marshalltown,802 South Center,Marshalltown,50158,POINT (-92.912817 42.039205),64,MARSHALL,1081100.0,Coffee Liqueurs,65,Jim Beam Brands,67557,Kamora Coffee Liqueur,12,1000,8.39,12.59,6,75.54,6.0,1.58
S27335100016,2015-08-19,3723,J D Spirits Liquor,1023  9TH ST,ONAWA,51040,POINT (-96.095845 42.025841),67,Monona,1051110.0,BLACKBERRY BRANDIES,434,Luxco-St Louis,55087,Paramount Blackberry Brandy,12,1000,6.53,9.8,4,39.2,4.0,1.06
S20965700021,2014-09-02,2597,Hy-Vee Food Store / Cherokee,1300 N. SECOND,CHEROKEE,51012,POINT (-95.552585 42.765259),18,Cherokee,1081700.0,DISTILLED SPIRITS SPECIALTY,434,Luxco-St Louis,75087,Juarez Gold Dss,12,1000,4.92,7.38,72,531.36,72.0,19.02
S33151100001,2016-06-30,2571,Hy-Vee Food Store #2 / Waterloo,2181 Logan Ave,Waterloo,50703,POINT (-92.337583 42.530476),7,Black Hawk,1701100.0,DECANTERS & SPECIALTY PACKAGES,65,Jim Beam Brands,168,Pinnacle Peach w/ Punch Dispenser,6,750,7.35,11.03,180,1985.4,135.0,35.66
S11775900048,2013-04-22,3932,Main Street Spirits / Mapleton,311 MAIN ST,MAPLETON,51034,POINT (-95.79375 42.165915),67,Monona,1081315.0,CINNAMON SCHNAPPS,65,Jim Beam Brands,82610,Dekuyper Hot Damn!,12,1000,7.62,11.43,4,45.72,4.0,1.06
S12784400003,2013-06-13,4612,ATC Liquor,"214, MYRTLE ST",DAVENPORT,52802,POINT (-90.589149 41.521586),82,Scott,1031100.0,100 PROOF VODKA,300,Mccormick Distilling Company,36886,Mccormick Vodka,12,750,3.3,4.96,72,357.12,54.0,14.27
S15967600028,2013-11-26,2190,"Central City Liquor, Inc.",1460 2ND AVE,DES MOINES,50314,POINT (-93.619787 41.60566),77,Polk,1081335.0,RASPBERRY SCHNAPPS,434,Luxco-St Louis,82147,Arrow Raspberry Schnapps,12,1000,4.75,7.13,4,28.52,4.0,1.06
S15747600010,2013-11-20,3447,Sam's Club 6432 / Sioux City,4201 S. YORK ST.,SIOUX CITY,51106,POINT (-96.37082 42.43407),97,Woodbury,1701100.0,DECANTERS & SPECIALTY PACKAGES,305,MHW Ltd,3963,Rumchata w/Thermal Cup,6,750,12.5,18.75,270,5062.5,202.5,53.49
S21868800005,2014-10-20,3690,Target Store T-1792 / Waterloo,1501 E SAN MARNAN,WATERLOO,50702,POINT (-92.325387 42.464521),7,Black Hawk,1701100.0,DECANTERS & SPECIALTY PACKAGES,305,MHW Ltd,40614,Rumchata w/Thermal Cup,6,750,12.5,18.75,60,1125.0,45.0,11.89
INV-26349800022,2020-04-07,3763,Main Street Liquors / Hawarden,911 Central Ave,Hawarden,51023.0,POINT (-96.48518900000002 42.996100000000006),84,SIOUX,1062100.0,Gold Rum,35,BACARDI USA INC,43038,Bacardi Gold,6,1750,15.0,22.5,3,67.5,5.25,1.38
INV-23807400003,2019-12-10,5446,Pump N Pak,1004 Main St.,Rock Valley,51247.0,POINT (-96.294824 43.200164),84,SIOUX,1081500.0,Triple Sec,65,Jim Beam Brands,86112,Dekuyper Triple Sec,12,1000,2.33,3.5,6,21.0,6.0,1.58
INV-30507900064,2020-09-24,5102,Wilkie Liquors,724 1st  St  SE,Mount Vernon,52314.0,POINT (-91.410401 41.918328),57,LINN,1081500.0,Triple Sec,55,SAZERAC NORTH AMERICA,86390,Montezuma Triple Sec,12,1000,2.13,3.2,180,576.0,180.0,47.55
INV-02379300382,2016-12-26,2538,Hy-Vee Food Store #3 / Waterloo,1422 Flammang Dr,Waterloo,50702,POINT (-92.327917 42.459938),7,BLACK HAWK,,,370,PERNOD RICARD USA,100026,Absolut w/Fever Tree Ginger Beer,6,750,11.49,17.24,84,1448.16,63.0,16.64
INV-48377000104,2022-06-15,2675,Hy-Vee #2 / Coralville,3285 Crosspark Rd,Coralville,52241.0,POINT (-91.605881 41.722419),52,JOHNSON,1082100.0,Imported Cordials & Liqueur,342,DV Spirits LLC,66023,Naranja Orange Liqueur,12,750,11.0,16.5,10,165.0,7.5,1.98
S12075200027,2013-05-07,2465,Sid's Beverage Shop,2727 DODGE ST,DUBUQUE,52003,POINT (-90.705328 42.491862),31,Dubuque,1081700.0,DISTILLED SPIRITS SPECIALTY,55,Sazerac North America,76227,Montezuma Blue,12,1000,4.5,6.75,120,810.0,120.0,31.7
S14672100067,2013-09-19,3692,Wilkie Liquors,724  1ST ST E,MT VERNON,52314,POINT (-91.960918 41.994458),57,Linn,1081700.0,DISTILLED SPIRITS SPECIALTY,434,Luxco-St Louis,75087,Juarez Gold Dss,12,1000,4.75,7.13,420,2994.6,420.0,110.95
S30506300012,2016-02-02,2562,Hy-Vee Food Store / Fort Dodge,115 SOUTH 29TH ST,FORT DODGE,50501,POINT (-94.15824700000002 42.504742),94,Webster,1031100.0,100 PROOF VODKA,301.0,Fifth Generation Inc.,38176,Titos Vodka,12,750,9.65,14.48,108,1563.84,81.0,21.4
S30600400007,2016-02-09,4559,Osage Payless Foods,"633, CHASE ST",OSAGE,50461,POINT (-92.811539 43.285134),66,Mitchell,1031100.0,100 PROOF VODKA,297.0,Laird And Company,35918,Five O'clock Vodka,6,1750,7.2,10.8,30,324.0,52.5,13.87
INV-34046300069,2021-02-04,2532,Hy-Vee Food Store #2 / Des Moines,2540 E Euclid,Des Moines,50317.0,POINT (-93.569452 41.627838),77,POLK,1062100,Gold Rum,434.0,LUXCO INC,45247,Paramount Gold Rum,12,1000,4.42,6.63,2,13.26,2.0,0.52
S17361200007,2014-02-12,2585,Hy-Vee Wine and Spirits / Algona,1516 HIGHWAY 169 NORTH,ALGONA,50511,POINT (-94.236003 43.081288),55,Kossuth,1012300.0,IRISH WHISKIES,370,Pernod Ricard USA/Austin Nichols,15626,Jameson,12,750,13.74,20.99,36,755.64,27.0,7.13
S23337300013,2015-01-06,4319,Fareway Stores #703 / Humbolt,710 FIRST AVE N,HUMBOLDT,50548,POINT (-94.218699 42.722165),46,Humboldt,1051110.0,BLACKBERRY BRANDIES,434,Luxco-St Louis,55088,Paramount Blackberry Brandy,6,1750,11.29,16.94,3,50.82,5.25,1.39
S19673500062,2014-06-23,3952,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,POINT (-90.48065 41.529655),82,Scott,1081400.0,TRIPLE SEC,434,Luxco-St Louis,86251,Juarez Triple Sec,12,1000,2.21,3.31,48,158.88,48.0,12.68
S33457600258,2016-07-19,2576,Hy-Vee Wine and Spirits / Storm Lake,1250 N Lake St,Storm Lake,50588,POINT (-95.200758 42.65318400000001),11,Buena Vista,1081340.0,ROOT BEER SCHNAPPS,380,Phillips Beverage Company,84617,Phillips Root Beer Schnapps,12,1000,5.5,8.25,4,33.0,4.0,1.06
INV-18262300112,2019-03-20,3869,Bootleggin' Barzini's Fin,412  1st Ave,Coralville,52241,POINT (-91.565517 41.672672),52,JOHNSON,1062100.0,Gold Rum,35,BACARDI USA INC,43034,Bacardi Gold,24,375,4.5,6.75,1,6.75,0.37,0.09
INV-24014800058,2019-12-18,4312,I-80 Liquor / Council Bluffs,2411 S 24TH ST #1,Council Bluffs,51501.0,POINT (-95.8792 41.238092),78,POTTAWATTA,1081500.0,Triple Sec,434,LUXCO INC,86251,Juarez Triple Sec,12,1000,2.42,3.63,48,174.24,48.0,12.68
INV-30599200070,2020-09-28,2662,Hy-Vee Wine & Spirits / Muscatine,"522 Mulberry, Suite A",Muscatine,52761.0,POINT (-91.04437 41.426615),70,MUSCATINE,1011600.0,Straight Rye Whiskies,255,Infinium Spirits,27175,Templeton 4YR Rye,6,1000,21.0,31.5,6,189.0,6.0,1.58
INV-30856600013,2020-10-08,2675,Hy-Vee #2 / Coralville,3285 Crosspark Rd,Coralville,52241.0,POINT (-91.60627100000002 41.721438),52,JOHNSON,1011600.0,Straight Rye Whiskies,85,Brown Forman Corp.,27130,Woodford Reserve Rye,6,750,22.49,33.74,30,1012.2,22.5,5.94
S16496900079,2013-12-26,2622,Hy-Vee Food Store / Iowa City,1125 N DODGE ST,IOWA CITY,52240,POINT (-91.518868 41.676095),52,Johnson,1031100.0,100 PROOF VODKA,300,Mccormick Distilling Company,36908,Mccormick Vodka Pet,6,1750,7.47,11.21,3,33.63,5.25,1.39
S30700500137,2016-02-11,4829,Central City 2,1501 MICHIGAN AVE,DES MOINES,50314,POINT (-93.613739 41.60572),77,Polk,1052100.0,,420.0,"Moet Hennessy USA, Inc.",48106,Hennessy Vs Cognac,12,750,18.99,28.49,60,1709.4,45.0,11.89
S30849100007,2016-02-22,4898,Burlington Shell,"130, S ROOSEVELT AVE",BURLINGTON,52601,POINT (-91.140986 40.808239),29,Des Moines,1052100.0,,420.0,"Moet Hennessy USA, Inc.",48099,Hennessy VS,24,200,5.74,8.61,24,206.64,4.8,1.27
S30778800020,2016-02-17,3772,Shop N Save #1 / Mlk Pkwy,2127 M L KING JR PKWY,DES MOINES,50314,,77,Polk,1052100.0,,389.0,REMY COINTREAU USA         .,49182,Remy Martin VSOP,24,100,3.24,4.86,24,116.64,2.4,0.63
S30972000014,2016-02-29,4153,Fareway Stores #067 / Evansdale,215 S EVANS RD,EVANSDALE,50707,POINT (-92.287834 42.475631),7,Black Hawk,1012300.0,IRISH WHISKIES,370.0,Pernod Ricard USA/Austin Nichols,15626,Jameson,12,750,14.99,22.49,60,1349.4,45.0,11.89
INV-08576400023,2017-11-09,4158,Fareway Stores #409 / Carroll,709 Monterey Dr,Carroll,51401,POINT (-94.850616 42.065252),14,CARROLL,1041300.0,American Sloe Gins,434,LUXCO INC,33717,Paramount Sloe Gin,12,1000,5.42,8.13,4,32.52,4.0,1.06
INV-48109600001,2022-06-07,6245,Neighborhood Liquor House / Ankeny,"833 East 1st Street, Suite 102",Ankeny,50021.0,POINT (-93.4545 41.651405),77,POLK,1092100.0,Imported Distilled Spirit Specialty,293,JINRO AMERICA INC,965344,SOOH Jinro Strawberry Soju,20,375,3.0,4.5,20,90.0,7.5,1.98
INV-39702900141,2021-08-31,2593,Hy-Vee Food Store / Carroll,905 US Highway 30 West,Carroll,51401.0,POINT (-94.853591 42.064155),14,CARROLL,1011600,Straight Rye Whiskies,255,Infinium Spirits,27102,Templeton Rye 4YR,6,750,18.09,27.14,30,814.2,22.5,5.94
INV-16617300052,2018-12-28,5416,Depot Liquor & Grocery,114 N Center St.,Marshalltown,50158,POINT (-92.912975 42.051619),64,MARSHALL,1081100.0,Coffee Liqueurs,370,PERNOD RICARD USA,67528,Kahlua Coffee,6,1750,24.99,37.49,3,112.47,5.25,1.38
S08987900005,2012-11-15,2190,"Central City Liquor, Inc.",1460 2ND AVE,DES MOINES,50314,POINT (-93.619787 41.60566),77,Polk,1012300.0,IRISH WHISKIES,370,Pernod Ricard USA/Austin Nichols,15627,Jameson,12,1000,17.4,26.1,84,2192.4,84.0,22.19
INV-36308700079,2021-05-04,2576,Hy-Vee Wine and Spirits / Storm Lake,1250 N Lake St,Storm Lake,50588.0,POINT (-95.200758 42.65318400000001),11,BUENA VIST,1062100,Gold Rum,35,BACARDI USA INC,43037,Bacardi Gold,12,1000,9.5,14.25,2,28.5,2.0,0.52
S22169400007,2014-11-05,3928,Smokin' Joe's #12 Tobacco and Liquor,465 HWY 965 UNIT G,NORTH LIBERTY,52317,POINT (-91.60759 41.739524),52,Johnson,1031100.0,100 PROOF VODKA,300,Mccormick Distilling Company,36908,Mccormick Vodka Pet,6,1750,7.47,11.21,3,33.63,5.25,1.39
S04156200024,2012-02-20,2285,John's Grocery,401 EAST MARKET ST,IOWA CITY,52240,POINT (-91.529854 41.663541),52,Johnson,1701100.0,DECANTERS & SPECIALTY PACKAGES,370,Pernod Ricard USA/Austin Nichols,2878,Absolut Zing Zang Bloody Mary Mix,3,1750,19.87,29.81,3,89.43,5.25,1.39
S33157700058,2016-06-30,5102,Wilkie Liquors,724 1st  St  SE,Mount Vernon,52314,POINT (-91.410401 41.918328),57,Linn,1081700.0,DISTILLED SPIRITS SPECIALTY,434,Luxco-St Louis,75087,Juarez Gold Dss,12,1000,4.92,7.38,660,4870.8,660.0,174.35
S18025600096,2014-03-24,2191,Keokuk Spirits,1013 MAIN,KEOKUK,52632,POINT (-91.387797 40.400038),56,Lee,1081370.0,WATERMELON SCHNAPPS,65,Jim Beam Brands,82867,Dekuyper Watermelon Pucker,12,1000,7.62,11.43,4,45.72,4.0,1.06
INV-32122800013,2020-11-20,4896,Barrys Mini Mart,"403, Chestnut St",Harpers Ferry,52146.0,POINT (-91.38553 43.050183),3,ALLAMAKEE,1700000.0,Temporary &  Specialty Packages,260,DIAGEO AMERICAS,101181,Crown Royal Multibrand Advent Calendar,6,50,22.49,33.74,6,202.44,0.3,0.07
INV-23689100001,2019-12-05,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,50320.0,POINT (-93.596754 41.554101),77,POLK,1011800.0,Iowa Distillery Whiskies,566,"Foundry Distilling Company, LLC",926577,Glen Oaks Whiskey Buy the Barrel,6,750,19.0,28.5,66,1881.0,49.5,13.07
INV-48328000010,2022-06-14,6268,Super Mart / Oelwein,701 South Frederick Avenue,Oelwein,50662.0,POINT (-91.913481 42.669128),33,FAYETTE,1091300.0,Neutral Grain Spirits Flavored,346,OLE SMOKY DISTILLERY LLC,76412,Ole Smoky Butter Pecan Moonshine Mini,8,50,8.75,13.13,4,52.52,0.2,0.05
INV-48418000001,2022-06-16,4988,Happy's Wine & Spirits,5925 University Ave,Cedar Falls,50613.0,POINT (-92.429644 42.512762),7,BLACK HAWK,1901200.0,Special Order Items,368,Park Street Imports,964525,Branca Menta,6,750,19.47,29.21,18,525.78,13.5,3.56
INV-48570500097,2022-06-22,2502,Hy-Vee Wine and Spirits / Ankeny,410 North Ankeny Blvd,Ankeny,50021.0,,77,POLK,1091100.0,American Distilled Spirit Specialty,154,DUNKEL CORPORATION / Iowa Distilling,78115,Saints N Sinners Mini,8,50,8.38,12.57,3,37.71,0.15,0.03
S09252300073,2012-12-03,2643,Hy-Vee Wine and Spirits / Waterloo,2126 KIMBALL AVE,WATERLOO,50701,,7,Black Hawk,1012300.0,IRISH WHISKIES,370,Pernod Ricard USA/Austin Nichols,15644,Jameson,24,375,6.5,9.74,5,48.7,1.88,0.5
S05197900001,2012-04-26,2190,"Central City Liquor, Inc.",1460 2ND AVE,DES MOINES,50314,POINT (-93.619787 41.60566),77,Polk,1011400.0,BOTTLED IN BOND BOURBON,85,Brown-Forman Corporation,26906,Jack Daniels Single Barrel Why.,6,750,24.38,36.57,198,7240.86,148.5,39.23
S03601100009,2012-01-17,2506,Hy-Vee #1044 / Burlington,3140 AGENCY,BURLINGTON,52601,POINT (-91.136655 40.814666),29,Des Moines,1081700.0,DISTILLED SPIRITS SPECIALTY,434,Luxco-St Louis,75087,Juarez Gold Dss,12,1000,4.75,7.13,96,684.48,96.0,25.36
S22094200035,2014-10-29,3417,Big G Food Store,PO BOX 261  310 W DILLON,MARENGO,52301,,48,Iowa,1081340.0,ROOT BEER SCHNAPPS,380,Phillips Beverage Company,84617,Phillips Root Beer Schnapps,12,1000,5.5,8.25,4,33.0,4.0,1.06
S05878500009,2012-06-05,3477,Sam's Club 6472 / Council Bluffs,3221 MANAWA CENTRE DR,COUNCIL BLUFFS,51501,POINT (-95.847163 41.225208),78,Pottawattamie,1081330.0,PEACH SCHNAPPS,65,Jim Beam Brands,82847,Dekuyper Peachtree,12,1000,7.35,11.02,48,528.96,48.0,12.68
S30624700060,2016-02-09,5166,East Side Liquor and Groceries,1116 E NEVADA ST,MARSHALLTOWN,50158,POINT (-92.893113 42.044345),64,Marshall,1052100.0,,420.0,"Moet Hennessy USA, Inc.",48099,Hennessy VS,24,200,5.74,8.61,24,206.64,4.8,1.27
S06563400058,2012-07-12,2569,Hy-Vee Food Store #2 / Cedar Rapids,279 COLLINS ROAD NE,CEDAR RAPIDS,52402,POINT (-91.630677 42.027805),57,Linn,1042100.0,IMPORTED DRY GINS,35,"Bacardi U.S.A., Inc.",28238,Bombay Sapphire Gin,6,1750,26.22,39.33,3,117.99,5.25,1.39
INV-36879200087,2021-05-24,2552,Hy-Vee Food Store #3 / Cedar Rapids,20 Wilson Avenue West,Cedar Rapids,52404.0,POINT (-91.658577 41.955859),57,LINN,1041300,American Sloe Gins,434,LUXCO INC,33717,Paramount Sloe Gin,12,1000,5.42,8.13,4,32.52,4.0,1.05
S23143000059,2014-12-23,4604,Pit Stop Liquors / Newton,"1324, 1st AVE E",NEWTON,50208,POINT (-93.035654 41.699173),50,Jasper,1701100.0,DECANTERS & SPECIALTY PACKAGES,420,"Moet Hennessy USA, Inc.",1258,Glenmorangie Taster Pack,6,400,14.84,22.26,1,22.26,0.4,0.11
